#,Player Name, Player Salary in $ ,
367,Sasha Kaun,"$1,333,420 ",
368,Timothe Luwawu,"$1,326,960 ",
369,Marcus Thornton,"$1,315,448 ",
369,Ty Lawson,"$1,315,448 ",
369,Alan Anderson,"$1,315,448 ",
372,Clint Capela,"$1,296,240 ",
373,Jarell Martin,"$1,286,160 ",
374,Brice Johnson,"$1,273,920 ",
375,Luke Babbitt,"$1,227,286 ",
375,Jeremy Evans,"$1,227,286 ",
377,Jordan Mickey,"$1,223,653 ",
378,CJ Wilcox,"$1,209,600 ",
379,Larry Nance Jr,"$1,207,680 ",
380,Terrence Jones,"$1,207,194 ",
381,Pascal Siakam,"$1,196,040 ",
382,Kyle Anderson,"$1,192,080 ",
383,Chris McCullough,"$1,191,480 ",
383,Josh Huestis,"$1,191,480 ",
385,Livio Jean-Charles,"$1,188,840 ",
385,Skal Labissiere,"$1,188,840 ",
387,Kevon Looney,"$1,182,840 ",
388,Dejounte Murray,"$1,180,080 ",
389,Damian Jones,"$1,171,560 ",
390,Hollis Thompson,"$1,131,040 ",
391,Isaiah Whitehead,"$1,074,145 ",
392,Rakeem Christmas,"$1,052,342 ",
392,Joseph Young,"$1,052,342 ",
394,John Jenkins,"$1,050,961 ",
394,Thomas Robinson,"$1,050,961 ",
394,Pablo Prigioni,"$1,050,961 ",
394,Brian Roberts,"$1,050,961 ",
398,Glenn Robinson III,"$1,050,500 ",
399,Montrezl Harrell,"$1,045,000 ",
400,Ivica Zubac,"$1,034,865 ",
401,Richaun Holmes,"$1,024,000 ",
402,Anthony Brown,"$1,023,838 ",
403,Jeff Withey,"$1,015,696 ",
403,Robert Covington,"$1,015,696 ",
403,Justin Holiday,"$1,015,696 ",
403,Ian Clark,"$1,015,696 ",
403,Isaiah Canaan,"$1,015,696 ",
403,Anthony Bennett,"$1,015,696 ",
403,Mike Muscala,"$1,015,696 ",
410,DeAndre Liggins,"$1,015,695 ",
411,Walter Tavares,"$1,006,000 ",
412,Damjan Rudez,"$980,431 ",
412,Jerami Grant,"$980,431 ",
412,Louis Amundson,"$980,431 ",
412,JaMychal Green,"$980,431 ",
412,James Michael McAdoo,"$980,431 ",
412,Beno Udrih,"$980,431 ",
412,Nick Johnson,"$980,431 ",
412,Sean Kilpatrick,"$980,431 ",
412,Joe Harris,"$980,431 ",
421,Elton Brand,"$980,000 ",
422,Axel Toupane,"$977,534 ",
423,Stephen Zimmerman,"$950,000 ",
424,Andrew Harrison,"$945,000 ",
425,Bobby Brown,"$940,070 ",
426,Tyler Ulis,"$918,369 ",
427,Jason Thompson,"$893,333 ",
428,Raul Neto,"$877,800 ",
429,Malcolm Brogdon,"$875,000 ",
430,Norman Powell,"$874,636 ",
430,Jonathon Simmons,"$874,636 ",
430,Pat Connaughton,"$874,636 ",
430,Alan Williams,"$874,636 ",
430,TJ McConnell,"$874,636 ",
430,Josh Richardson,"$874,636 ",
430,Darrun Hilliard,"$874,636 ",
430,Salah Mejri,"$874,636 ",
430,Jordan McRae,"$874,636 ",
430,Cristiano Felicio,"$874,636 ",
430,Christian Wood,"$874,636 ",
441,Paul Zipser,"$750,000 ",
442,Spencer Dinwiddie,"$726,672 ",
443,Ryan Kelly,"$713,305 ",
444,Jonathan Gibson,"$671,346 ",
445,Joel Anthony,"$663,810 ",
446,Troy Williams,"$652,165 ",
447,Georges Niang,"$650,000 ",
447,Michael Gbinije,"$650,000 ",
447,AJ Hammons,"$650,000 ",
450,Briante Weber,"$623,447 ",
451,Donatas Motiejunas,"$607,491 ",
452,Joel Bolomboy,"$600,000 ",
452,Jake Layman,"$600,000 ",
454,John Lucas,"$580,344 ",
455,Gary Payton II,"$578,636 ",
456,Toney Douglas,"$564,868 ",
457,Danuel House,"$543,471 ",
457,Sheldon Mac,"$543,471 ",
457,Daniel Ochefu,"$543,471 ",
457,Fred VanVleet,"$543,471 ",
457,Bryn Forbes,"$543,471 ",
457,Davis Bertans,"$543,471 ",
457,Tim Quarterman,"$543,471 ",
457,Derrick Jones,"$543,471 ",
457,Semaj Christon,"$543,471 ",
457,Maurice Ndour,"$543,471 ",
457,Marshall Plumlee,"$543,471 ",
457,Ron Baker,"$543,471 ",
457,Cheick Diallo,"$543,471 ",
457,Rodney McGruder,"$543,471 ",
457,Diamond Stone,"$543,471 ",
457,Chinanu Onuaku,"$543,471 ",
457,Kyle Wiltjer,"$543,471 ",
457,Patrick McCaw,"$543,471 ",
457,Dorian Finney-Smith,"$543,471 ",
457,Nicolas Brussino,"$543,471 ",
457,Kay Felder,"$543,471 ",
457,Treveon Graham,"$543,471 ",
479,Chasson Randle,"$541,170 ",
480,Arinze Onuaku,"$426,775 ",
481,Yogi Ferrell,"$409,300 ",
482,Johnny O'Bryant,"$392,169 ",
483,Aaron Harrison,"$365,289 ",
484,Okaro White,"$310,995 ",
485,Isaiah Taylor,"$305,000 ",
486,Norris Cole,"$288,131 ",
487,Ben Bentil,"$281,968 ",
488,Jarell Eddie,"$277,898 ",
489,Yi Jianlian,"$250,000 ",
489,Elliot Williams,"$250,000 ",
491,Lamar Patterson,"$242,963 ",
492,Jordan Crawford,"$234,920 ",
493,Nicolas Laprovittola,"$204,601 ",
494,Reggie Williams,"$193,307 ",
495,Pierre Jackson,"$191,810 ",
496,Brandon Paul,"$155,000 ",
497,Shawn Long,"$154,512 ",
498,Jarnell Stokes,"$150,000 ",
498,Robbie Hummel,"$150,000 ",
500,Mike Tobey,"$138,937 ",
501,Patricio Garino,"$131,968 ",
502,Jarrod Uthoff,"$129,920 ",
503,Marcus Paige,"$125,000 ",
504,Manny Harris,"$119,493 ",
504,Ray McCallum,"$119,493 ",
506,Wayne Selden,"$115,087 ",
507,Isaiah Cousins,"$100,000 ",
507,JP Tokoto,"$100,000 ",
507,Stefan Jankovic,"$100,000 ",
507,Egidijus Mockevicius,"$100,000 ",
511,Quinn Cook,"$95,904 ",
512,Marcus Georges-Hunt,"$88,936 ",
513,Jordan Farmar,"$82,976 ",
514,Prince Ibeh,"$77,250 ",
515,Quincy Ford,"$75,000 ",
515,Henry Sims,"$75,000 ",
515,Ryan Arcidiacono,"$75,000 ",
515,Kaleb Tarczewski,"$75,000 ",
515,Keith Benson,"$75,000 ",
520,Alex Poythress,"$73,743 ",
521,David Nwaba,"$73,528 ",
522,Gary Neal,"$72,193 ",
523,Kyle Collinsworth,"$70,000 ",
524,Thomas Walkup,"$69,500 ",
525,James Webb,"$65,000 ",
526,Zach Auguste,"$60,000 ",
527,Brady Heslip,"$56,500 ",
528,EJ Singler,"$50,000 ",
528,Dionte Christmas,"$50,000 ",
528,Anthony Barber,"$50,000 ",
528,Alex Caruso,"$50,000 ",
528,Julyan Stone,"$50,000 ",
528,Elgin Cook,"$50,000 ",
528,Scott Wood,"$50,000 ",
528,DJ Kennedy,"$50,000 ",
528,Nate Wolters,"$50,000 ",
528,Damion Lee,"$50,000 ",
528,Matt Costello,"$50,000 ",
539,Beau Beech,"$45,000 ",
540,Phil Pressey,"$35,000 ",
541,Nikola Jovanovic,"$30,000 ",
542,Tony Wroten,"$25,000 ",
542,Nick Zeisloft,"$25,000 ",
542,Jalen Jones,"$25,000 ",
545,Dahntay Jones,"$24,022 ",
